tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;RU;46019A02700122;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000111;00000
13;46;019;RU;46019A02400051;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000099;00000
13;46;019;RU;46019A01300153;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000009;00000
13;46;019;RU;46019A01200026;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000159;00000
13;46;019;RU;46019A02600158;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000073;00000
13;46;019;RU;46019A02600155;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000036;00000
13;46;019;RU;46019A02600119;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000032;00000
13;46;019;RU;46019A01000007;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000148;00000
13;46;019;RU;46019A00900119;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0001415;00000
13;46;019;RU;46019A02900091;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000088;00000
13;46;019;RU;46019A02600114;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000009;00000
13;46;019;RU;46019A02600074;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;E;0000462;00000
13;46;019;RU;46019A02600050;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000010;00000
13;46;019;RU;46019A02100090;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000135;00000
13;46;019;RU;46019A02100085;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000130;00000
13;46;019;RU;46019A01600035;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000012;00000
13;46;019;RU;46019A00400285;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000002;00000
